t,neel,ground,random
0,1,1,1
1,-0.963917551,-0.962470902,-0.966838161
2,0.920282929,0.933599404,0.928270093
3,-0.877483603,-0.885666575,-0.888768288
4,0.824212621,0.84814754,0.842498143
5,-0.786659432,-0.804036491,-0.807018191
6,0.742363851,0.770121129,0.766004246
7,-0.706662426,-0.729847434,-0.733099919
8,0.666224128,0.698436139,0.693995425
9,-0.63988493,-0.667405163,-0.668790203
10,0.609262997,0.642440566,0.637652388
11,-0.588130334,-0.617634715,-0.618108608
12,0.564261258,0.597666979,0.594268683
13,-0.547844558,-0.577751829,-0.576995356
14,0.527910868,0.564222447,0.557171237
15,-0.515009463,-0.548157891,-0.542792766
16,0.498678946,0.534748565,0.526728782
17,-0.489609777,-0.522437584,-0.516065309
18,0.474402177,0.510165156,0.502072882
19,-0.468375729,-0.498142342,-0.493680044
20,0.45489291,0.487817134,0.482386116
21,-0.447869006,-0.477456984,-0.472854642
22,0.436661506,0.467190399,0.462359173
23,-0.430784236,-0.460257592,-0.453552398
24,0.41828396,0.448682177,0.442929042
25,-0.413625882,-0.439825748,-0.435593796
26,0.404088219,0.432978148,0.427826871
27,-0.398998663,-0.425611608,-0.419448226
28,0.389698003,0.417239454,0.411664179
29,-0.383826764,-0.411122109,-0.403724857
30,0.375036805,0.403563205,0.394520157
31,-0.369998009,-0.39735873,-0.385931016
32,0.363569811,0.390940516,0.380885353
33,-0.357623453,-0.382730038,-0.372842182
34,0.34899645,0.375308885,0.36601478
35,-0.344724052,-0.3688147,-0.360267336
36,0.337308285,0.361951059,0.352705897
37,-0.331370386,-0.355227024,-0.347074315
38,0.323083702,0.347399141,0.339038859
39,-0.317675333,-0.340246528,-0.333684235
40,0.310021738,0.333845023,0.328005398
41,-0.302835107,-0.325588109,-0.320141106
42,0.296213954,0.320076655,0.312909305
43,-0.290940868,-0.312660658,-0.306247446
44,0.283111776,0.306396332,0.298605426
45,-0.276978441,-0.299207676,-0.29320625
46,0.272466265,0.292408786,0.286678854
47,-0.266812814,-0.286344459,-0.280615526
48,0.26032898,0.281021774,0.27528264
49,-0.256043612,-0.274532765,-0.269819128
50,0.249059979,0.268543502,0.264426737
51,-0.245829563,-0.26270906,-0.257577458
52,0.240493988,0.256541086,0.252665473
53,-0.235302537,-0.250870849,-0.248383293
54,0.229253858,0.246040012,0.243290161
55,-0.226065173,-0.241420071,-0.239714705
56,0.22063341,0.235090107,0.234606753
57,-0.216686604,-0.231079708,-0.231586269
58,0.21124058,0.226678842,0.228026689
59,-0.208098795,-0.221484954,-0.223188931
60,0.203059458,0.217290569,0.219697959
