shot_id,train,val,test,fold_1_train,fold_1_val,fold_2_train,fold_2_val,fold_3_train,fold_3_val,fold_4_train,fold_4_val,fold_5_train,fold_5_val,train_ip_negative,val_ip_negative,test_ip_negative
21719,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
29562,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
27570,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
25984,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
26995,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
20028,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
30207,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
28222,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
21965,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
25359,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
17117,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
27542,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
27254,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
20478,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
19666,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
14394,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
16396,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
14962,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
27868,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
20291,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
15450,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
16151,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
16726,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
30440,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
29846,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
15006,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
20407,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
24394,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
12858,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
24618,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
13418,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
22755,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
13723,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
27735,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
29912,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
25481,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
18675,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
22655,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
14232,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
17593,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
22572,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
15477,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
23660,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
22497,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
17364,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
27958,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
14655,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
29852,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
22297,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
24388,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
12773,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
12563,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
16444,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
16011,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
13127,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
11817,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
22123,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
24097,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
14571,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
23361,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
12358,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
23918,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
21764,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
28228,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
23993,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
16258,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
27908,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
30450,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
23412,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
12120,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
27476,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
22634,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
16450,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
12198,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
16664,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
28803,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
21046,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
16022,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
13001,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
29884,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
29681,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
24823,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
26973,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
24089,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
24043,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
25784,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
14513,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
27627,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
15187,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
29349,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
14239,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
17645,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
28820,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
21316,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
27806,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
26864,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
24311,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
23829,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
28849,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
17498,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
12554,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
17272,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
13732,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
24899,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False
18226,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False
24601,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
