index,gap
0,2.976253652156005e-09
1,2.7252613868782737e-09
2,2.789664834158562e-09
3,1.0273862395984504e-08
4,1.2486915881146121e-08
5,-6.208534357251905e-09
6,1.103281499097329e-08
7,8.29746023259039e-09
8,-5.459481710265284e-09
9,1.8651673071831708e-08
10,-1.1494423803114034e-08
11,5.940211537300696e-10
12,8.346562433352963e-09
13,-2.5957606139856045e-09
14,-7.706957541802607e-09
15,3.5484200600545843e-10
16,-4.222297288098148e-09
17,1.3790898477071463e-09
18,-1.3289740357848668e-08
19,-1.7989179122495924e-09
20,-2.554724511554527e-10
21,-5.21908709678352e-09
22,-4.146994265298083e-09
23,1.1970317573165982e-08
24,-8.97876481432452e-09
25,-1.0570369756676925e-08
26,-1.1603129204628343e-09
27,9.382723967121027e-09
28,-1.1485330943589832e-09
29,-4.63441880103095e-09
30,-9.995757444024277e-10
31,-2.6964036592466056e-09
32,-1.1395737191313749e-08
33,-2.8095029504523334e-09
34,1.2539158583744764e-08
35,-4.1755432941435865e-09
