object_id,object_name,target_mass_class,selected_model_mass,progenitor_type,network,phase_name,stage_index,alpha,alpha_radius,gap_base,delta_logT_base,delta_logRho_base,delta_ye_base,delta_support_base,delta_energy_loss_base,composition_transition_count,gap_alpha,delta_logT_alpha,delta_logRho_alpha,delta_ye_alpha,delta_support_alpha,delta_energy_loss_alpha,gap_response_norm,thermal_response_norm,density_response_norm,composition_response_norm,support_response_norm,loss_response_norm,structural_response,phase_persistence_score,boundary_role_mode,composition_stage_mode,dominant_species_mode,alpha_status,instability_flag
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.5,0.5,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0106238259553,0.114281251745,0.072029252065,1.52999946046e-10,0.2317332289,6.7502925e-16,0.813118666898,1.47317971197,0.307913216977,5.94029219368e-07,2.62274684612,2.03356870614e-15,0.821773026232,0.548915801036,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.55,0.45,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0116862085508,0.12570937692,0.0792321772715,1.68299940651e-10,0.25490655179,7.42532175e-16,0.731806800209,1.32586174078,0.277121895279,5.34626297431e-07,2.36047216151,1.83021183553e-15,0.739595723608,0.574846205028,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.6,0.4,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0127485911464,0.137137502094,0.086435102478,1.83599935255e-10,0.27807987468,8.100351e-16,0.650494933519,1.17854376958,0.246330573581,4.75223375494e-07,2.0981974769,1.62685496491e-15,0.657418420985,0.603347946022,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.65,0.35,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0138109737419,0.148565627269,0.0936380276845,1.9889992986e-10,0.30125319757,8.77538025e-16,0.569183066829,1.03122579838,0.215539251884,4.15820453558e-07,1.83592279229,1.4234980943e-15,0.575241118362,0.634823449149,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.7,0.3,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0148733563374,0.159993752443,0.100840952891,2.14199924464e-10,0.32442652046,9.4504095e-16,0.487871200139,0.883907827185,0.184747930186,3.56417531621e-07,1.57364810767,1.22014122369e-15,0.493063815739,0.669763736458,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.75,0.25,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0159357389329,0.171421877617,0.108043878097,2.29499919069e-10,0.34759984335,1.012543875e-15,0.406559333449,0.736589855987,0.153956608488,2.97014609684e-07,1.31137342306,1.01678435307e-15,0.410886513116,0.708774228617,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.8,0.2,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0169981215285,0.182850002792,0.115246803304,2.44799913674e-10,0.37077316624,1.0800468e-15,0.325247466759,0.58927188479,0.123165286791,2.37611687747e-07,1.04909873845,8.13427482457e-16,0.328709210493,0.752610121239,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.85,0.15,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.018060504124,0.194278127967,0.12244972851,2.60099908278e-10,0.39394648913,1.147549725e-15,0.24393560007,0.441953913592,0.092373965093,1.7820876581e-07,0.786824053837,6.10070611843e-16,0.246531907869,0.80222575426,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.9,0.1,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0191228867195,0.205706253141,0.129652653717,2.75399902883e-10,0.41711981202,1.21505265e-15,0.16262373338,0.294635942395,0.0615826433953,1.18805843874e-07,0.524549369225,4.06713741229e-16,0.164354605246,0.85884488754,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,0.95,0.05,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0201852693151,0.217134378316,0.136855578923,2.90699897487e-10,0.44029313491,1.282555575e-15,0.0813118666898,0.147317971197,0.0307913216977,5.94029219368e-08,0.262274684612,2.03356870614e-16,0.0821773026232,0.92406299557,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,1,0,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0,0,0,0,0,0,1,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,1.05,0.05,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0223100345061,0.239990628665,0.151261429336,3.21299886697e-10,0.48663978069,1.417561425e-15,0.0813118666898,0.147317971197,0.0307913216977,5.94029219368e-08,0.262274684612,2.03356870614e-16,0.0821773026232,0.92406299557,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,1.1,0.1,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0233724171017,0.251418753839,0.158464354543,3.36599881301e-10,0.50981310358,1.48506435e-15,0.16262373338,0.294635942395,0.0615826433953,1.18805843874e-07,0.524549369225,4.06713741229e-16,0.164354605246,0.85884488754,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,1.15,0.15,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0244347996972,0.262846879014,0.165667279749,3.51899875906e-10,0.53298642647,1.552567275e-15,0.24393560007,0.441953913592,0.092373965093,1.7820876581e-07,0.786824053837,6.10070611843e-16,0.246531907869,0.80222575426,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,1.2,0.2,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0254971822927,0.274275004188,0.172870204956,3.6719987051e-10,0.55615974936,1.6200702e-15,0.325247466759,0.58927188479,0.123165286791,2.37611687747e-07,1.04909873845,8.13427482457e-16,0.328709210493,0.752610121239,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,1.25,0.25,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0265595648883,0.285703129363,0.180073130162,3.82499865115e-10,0.57933307225,1.687573125e-15,0.406559333449,0.736589855987,0.153956608488,2.97014609684e-07,1.31137342306,1.01678435307e-15,0.410886513116,0.708774228617,surface_envelope,outer_envelope,h1,valid,no
A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,surface_envelope,1,1.3,0.3,0.0212476519106,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0276219474838,0.297131254537,0.187276055369,3.9779985972e-10,0.60250639514,1.75507605e-15,0.487871200139,0.883907827185,0.184747930186,3.56417531621e-07,1.57364810767,1.22014122369e-15,0.493063815739,0.669763736458,surface_envelope,outer_envelope,h1,valid,no
