object_id,object_name,supernova_type,band,phase_name,stage_index,alpha,alpha_radius,gap_base,duration_base,slope_base,curvature_base,gap_alpha,duration_alpha,slope_alpha,curvature_alpha,gap_response_norm,duration_response_norm,slope_response_norm,curvature_response_norm,structural_response,phase_persistence_score,boundary_role,support_regime_proxy,alpha_status,instability_flag
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.5,0.5,1.829,10.2301,-0.1591654044,-0.4622287823,0.9145,5.11505,-0.0795827022,-0.2311143911,0.9491437468,0.1785669401,1.844475725,9.0447405,2.066610014,0.3260929806,boundary_response_rise,shock_cooling,unstable,yes
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.55,0.45,1.829,10.2301,-0.1591654044,-0.4622287823,1.00595,5.626555,-0.08754097242,-0.2542258303,0.8542293721,0.1607102461,1.660028152,8.14026645,1.859949013,0.3496565832,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.6,0.4,1.829,10.2301,-0.1591654044,-0.4622287823,1.0974,6.13806,-0.09549924264,-0.2773372694,0.7593149974,0.1428535521,1.47558058,7.2357924,1.653288012,0.3768908598,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.65,0.35,1.829,10.2301,-0.1591654044,-0.4622287823,1.18885,6.649565,-0.1034575129,-0.3004487085,0.6644006227,0.1249968581,1.291133007,6.33131835,1.44662701,0.4087259708,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.7,0.3,1.829,10.2301,-0.1591654044,-0.4622287823,1.2803,7.16107,-0.1114157831,-0.3235601476,0.5694862481,0.1071401641,1.106685435,5.4268443,1.239966009,0.446435346,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.75,0.25,1.829,10.2301,-0.1591654044,-0.4622287823,1.37175,7.672575,-0.1193740533,-0.3466715867,0.4745718734,0.08928347006,0.9222378623,4.52237025,1.033305007,0.49181013,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.8,0.2,1.829,10.2301,-0.1591654044,-0.4622287823,1.4632,8.18408,-0.1273323235,-0.3697830258,0.3796574987,0.07142677605,0.7377902898,3.6178962,0.8266440058,0.5474520469,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.85,0.15,1.829,10.2301,-0.1591654044,-0.4622287823,1.55465,8.695585,-0.1352905937,-0.392894465,0.284743124,0.05357008204,0.5533427174,2.71342215,0.6199830043,0.6172904267,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.9,0.1,1.829,10.2301,-0.1591654044,-0.4622287823,1.6461,9.20709,-0.143248864,-0.4160059041,0.1898287494,0.03571338803,0.3688951449,1.8089481,0.4133220029,0.7075528421,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,0.95,0.05,1.829,10.2301,-0.1591654044,-0.4622287823,1.73755,9.718595,-0.1512071342,-0.4391173432,0.09491437468,0.01785669401,0.1844475725,0.90447405,0.2066610014,0.8287331726,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1,0,1.829,10.2301,-0.1591654044,-0.4622287823,1.829,10.2301,-0.1591654044,-0.4622287823,0,0,0,0,0,1,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.05,0.05,1.829,10.2301,-0.1591654044,-0.4622287823,1.92045,10.741605,-0.1671236746,-0.4853402214,0.09491437468,0.01785669401,0.1844475725,0.90447405,0.2066610014,0.8287331726,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.1,0.1,1.829,10.2301,-0.1591654044,-0.4622287823,2.0119,11.25311,-0.1750819448,-0.5084516605,0.1898287494,0.03571338803,0.3688951449,1.8089481,0.4133220029,0.7075528421,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.15,0.15,1.829,10.2301,-0.1591654044,-0.4622287823,2.10335,11.764615,-0.1830402151,-0.5315630996,0.284743124,0.05357008204,0.5533427174,2.71342215,0.6199830043,0.6172904267,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.2,0.2,1.829,10.2301,-0.1591654044,-0.4622287823,2.1948,12.27612,-0.1909984853,-0.5546745388,0.3796574987,0.07142677605,0.7377902898,3.6178962,0.8266440058,0.5474520469,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.25,0.25,1.829,10.2301,-0.1591654044,-0.4622287823,2.28625,12.787625,-0.1989567555,-0.5777859779,0.4745718734,0.08928347006,0.9222378623,4.52237025,1.033305007,0.49181013,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.3,0.3,1.829,10.2301,-0.1591654044,-0.4622287823,2.3777,13.29913,-0.2069150257,-0.600897417,0.5694862481,0.1071401641,1.106685435,5.4268443,1.239966009,0.446435346,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.35,0.35,1.829,10.2301,-0.1591654044,-0.4622287823,2.46915,13.810635,-0.2148732959,-0.6240088561,0.6644006227,0.1249968581,1.291133007,6.33131835,1.44662701,0.4087259708,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.4,0.4,1.829,10.2301,-0.1591654044,-0.4622287823,2.5606,14.32214,-0.2228315662,-0.6471202952,0.7593149974,0.1428535521,1.47558058,7.2357924,1.653288012,0.3768908598,boundary_response_rise,shock_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.45,0.45,1.829,10.2301,-0.1591654044,-0.4622287823,2.65205,14.833645,-0.2307898364,-0.6702317343,0.8542293721,0.1607102461,1.660028152,8.14026645,1.859949013,0.3496565832,boundary_response_rise,shock_cooling,unstable,yes
B_SN2011dh,SN2011dh,IIb,B,rise,1,1.5,0.5,1.829,10.2301,-0.1591654044,-0.4622287823,2.7435,15.34515,-0.2387481066,-0.6933431734,0.9491437468,0.1785669401,1.844475725,9.0447405,2.066610014,0.3260929806,boundary_response_rise,shock_cooling,unstable,yes
B_SN2011dh,SN2011dh,IIb,B,peak,2,0.5,0.5,0.312,9.5565,-0.04138091883,-0.4431653934,0.156,4.77825,-0.02069045942,-0.2215826967,0.1619097042,0.1668092163,0.4795395113,8.671714388,1.487494731,0.4020109017,maximum_observable_response,ejecta_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,peak,2,0.55,0.45,0.312,9.5565,-0.04138091883,-0.4431653934,0.1716,5.256075,-0.02275950536,-0.2437409664,0.1457187338,0.1501282946,0.4315855602,7.804542949,1.338745258,0.4275797018,maximum_observable_response,ejecta_cooling,valid,no
B_SN2011dh,SN2011dh,IIb,B,peak,2,0.6,0.4,0.312,9.5565,-0.04138091883,-0.4431653934,0.1872,5.7339,-0.0248285513,-0.265899236,0.1295277634,0.133447373,0.383631609,6.93737151,1.189995785,0.4566218834,maximum_observable_response,ejecta_cooling,valid,no
