metric,value,interpretation
A_count,2,Phase A v2 vectors
B_count,6,Phase B v2 vectors
C_count,2,Phase C v2 vectors
AB_centroid_distance,0.401020743943,weak_separation
BC_centroid_distance,1.28680820504,strong_separation
AC_centroid_distance,1.36461962101,strong_separation
BC_minus_AB,0.885787461097,C branching strength relative to A-B
global_ABC_classification,A_to_B_contact_with_C_branching,tri-domain routing class
SN1993J_contact_chain,0.680090597603,compact transition chain with C still near B
SN2012aw_anomaly_chain,0.436476988664,C branches away from the A-B contact path
