name,class,n,verdict,P_depth,sigma2_GR,frag_rate,adm_persist,aniso_persist,kappa_connect,giantRatio,isolatedFraction,tailDominance,runStatus
uniform_02e51ec93b3a_canonical.csv,uniform,783,FULL_PERCOLATION,0.19377582996090092,0.0,0.0,1.0,0.0,0.562341,1.0,0.0,0.0,COMPLETE
uniform_2a2f14a1cf80_canonical.csv,uniform,640,FULL_PERCOLATION,0.15280704699167358,0.0,0.0,1.0,0.0,0.421697,1.0,0.0,0.0,COMPLETE
uniform_2c6e8431d309_canonical.csv,uniform,509,FULL_PERCOLATION,0.2430117420523816,0.0,0.0,1.0,0.0,0.749894,1.0,0.0,0.0,COMPLETE
uniform_3f90da589155_canonical.csv,uniform,369,GIANT_COMPONENT_PERCOLATION,0.0,7.344099999999947e-06,0.005419999999999991,0.99729,0.020433,,0.99729,0.00271,0.020433,COMPLETE
uniform_3f1949223e42_canonical.csv,uniform,439,FULL_PERCOLATION,0.19377582996090092,0.0,0.0,1.0,0.0,0.562341,1.0,0.0,0.0,COMPLETE
uniform_4e0ba5b5b3ce_canonical.csv,uniform,440,FULL_PERCOLATION,0.3010299956639812,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,COMPLETE
uniform_5abab1698697_canonical.csv,uniform,996,GIANT_COMPONENT_PERCOLATION,0.0,4.0320640000000396e-06,0.0020080000000000098,0.997992,0.007291,,0.997992,0.0,0.007291,COMPLETE
uniform_5bd82dc0f383_canonical.csv,uniform,798,GIANT_COMPONENT_PERCOLATION,0.0,6.280036000000041e-06,0.0025060000000000082,0.997494,0.009813,,0.997494,0.0,0.009813,COMPLETE
uniform_6acf5345393a_canonical.csv,uniform,906,GIANT_COMPONENT_PERCOLATION,0.0,1.2188159999999866e-06,0.002207999999999994,0.998896,0.009014,,0.998896,0.001104,0.009014,COMPLETE
uniform_7e3b470232cc_canonical.csv,uniform,173,FULL_PERCOLATION,0.47712125471966244,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,COMPLETE
uniform_8ab0d1c45402_canonical.csv,uniform,841,GIANT_COMPONENT_PERCOLATION,0.0,1.2723488999999906e-05,0.004755999999999987,0.996433,0.031562,,0.996433,0.001189,0.031562,COMPLETE
uniform_8c476e273b37_canonical.csv,uniform,327,FULL_PERCOLATION,0.3010299956639812,0.0,0.0,1.0,0.021701,1.0,1.0,0.0,0.021701,COMPLETE
uniform_9b36211f21d8_canonical.csv,uniform,633,FULL_PERCOLATION,0.09241779586961302,0.0,0.0,1.0,0.0,0.237137,1.0,0.0,0.0,COMPLETE
uniform_9beece56b792_canonical.csv,uniform,97,FULL_PERCOLATION,0.47712125471966244,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,COMPLETE
