name,class,verdict,P_depth,sigma2_GR,frag_rate,adm_persist,aniso_persist,kappa_connect,giantRatio,isolatedFraction,tailDominance,n,runStatus,source_csv
helium_II_levels_raw_canonical.csv,helium,FULL_PERCOLATION,1000000.0,1.0,0.0,1.0,0.999649,1000000.0,1.0,0.0,0.999649,589,COMPLETE,CLE_PILOT_I\canonical\helium\helium_STRUC-PERC-I_output\struc_perc_batch_results.csv
helium_levels_raw_canonical.csv,helium,FULL_PERCOLATION,1000000.0,1.0,0.0,1.0,0.998075,1000000.0,1.0,0.0,0.998075,3365,COMPLETE,CLE_PILOT_I\canonical\helium\helium_STRUC-PERC-I_output\struc_perc_batch_results.csv
planck_EE_canonical.csv,cosmology,GIANT_COMPONENT_PERCOLATION,0.0,0.998496,0.00117,0.99883,0.101594,,0.998496,0.00117,0.101594,5983,COMPLETE,CLE_PILOT_I\canonical\cosmology\cosmology_STRUC-PERC-I_output\struc_perc_batch_results.csv
planck_TE_canonical.csv,cosmology,GIANT_COMPONENT_PERCOLATION,0.0,0.998997,0.000334,0.999666,0.016477,,0.998997,0.000334,0.016477,5982,COMPLETE,CLE_PILOT_I\canonical\cosmology\cosmology_STRUC-PERC-I_output\struc_perc_batch_results.csv
planck_TT_canonical.csv,cosmology,GIANT_COMPONENT_PERCOLATION,0.0,0.99734,0.001729,0.998271,0.328807,,0.99734,0.001729,0.328807,7519,COMPLETE,CLE_PILOT_I\canonical\cosmology\cosmology_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2c14_1_bkg_hit_canonical.csv,neutrino,FULL_PERCOLATION,10.0,1.0,0.0,1.0,0.994186,10.0,1.0,0.0,0.994186,685,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2c14_1_bkg_phi_canonical.csv,neutrino,FULL_PERCOLATION,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,571,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2c14_1_bkg_theta_canonical.csv,neutrino,HARD_FRAGMENTATION,0.0,0.750397,0.0,1.0,0.993671,,0.750397,0.0,0.993671,629,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2c14_1_bkgdr_hit_canonical.csv,neutrino,HARD_FRAGMENTATION,0.0,0.750636,0.0,1.0,0.989899,,0.750636,0.0,0.989899,393,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2c14_1_bkgdr_phi_canonical.csv,neutrino,FULL_PERCOLATION,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,387,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2c14_1_bkgdr_theta_canonical.csv,neutrino,HARD_FRAGMENTATION,0.0,0.750636,0.0,1.0,0.989899,,0.750636,0.0,0.989899,393,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2doubleC14_canonical.csv,neutrino,FULL_PERCOLATION,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,110350,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2fiveC14_canonical.csv,neutrino,FULL_PERCOLATION,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,106492,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2fourC14_canonical.csv,neutrino,FULL_PERCOLATION,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,107000,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2singleC14_canonical.csv,neutrino,FULL_PERCOLATION,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,116509,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_bkg2tripleC14_canonical.csv,neutrino,FULL_PERCOLATION,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,108532,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_deepL_Graph_1_canonical.csv,neutrino,FULL_PERCOLATION,10.0,1.0,0.0,1.0,0.941176,10.0,1.0,0.0,0.941176,63,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
L_deepL_Graph_2_canonical.csv,neutrino,HARD_FRAGMENTATION,0.0,0.746032,0.0,1.0,0.0,,0.746032,0.0,0.0,63,COMPLETE,CLE_PILOT_I\canonical\neutrino\neutrino_STRUC-PERC-I_output\struc_perc_batch_results.csv
