index,ell,gap,normalized_gap,domain,observable,source
1,2.0,-5.748086000000001,-0.033122057966630675,cosmology,cmb_power_spectrum_transition,planck_TE
2,3.0,4.780425,0.027546128216441163,cosmology,cmb_power_spectrum_transition,planck_TE
3,4.0,1.586309,0.00914075026904398,cosmology,cmb_power_spectrum_transition,planck_TE
4,5.0,-3.1221462,-0.017990668096596964,cosmology,cmb_power_spectrum_transition,planck_TE
5,6.0,2.0391222,0.011749984900964155,cosmology,cmb_power_spectrum_transition,planck_TE
6,7.0,-1.8204224,-0.010489776293631119,cosmology,cmb_power_spectrum_transition,planck_TE
7,8.0,1.6479564,0.009495979602128429,cosmology,cmb_power_spectrum_transition,planck_TE
8,9.0,-2.3443866,-0.013509002624767999,cosmology,cmb_power_spectrum_transition,planck_TE
9,10.0,1.2046566,0.006941563806645241,cosmology,cmb_power_spectrum_transition,planck_TE
10,11.0,0.2912539999999999,0.0016782859322238821,cosmology,cmb_power_spectrum_transition,planck_TE
11,12.0,-0.8450095999999999,-0.004869178532394851,cosmology,cmb_power_spectrum_transition,planck_TE
12,13.0,-0.03591040000000001,-0.00020692563583858944,cosmology,cmb_power_spectrum_transition,planck_TE
13,14.0,0.28359480000000004,0.0016341515079341248,cosmology,cmb_power_spectrum_transition,planck_TE
14,15.0,-0.2320356,-0.0013370531675277522,cosmology,cmb_power_spectrum_transition,planck_TE
15,16.0,1.3544938,0.007804967107145204,cosmology,cmb_power_spectrum_transition,planck_TE
16,17.0,-3.4945120000000003,-0.02013634260675405,cosmology,cmb_power_spectrum_transition,planck_TE
17,18.0,-0.6382700000000001,-0.003677887898399808,cosmology,cmb_power_spectrum_transition,planck_TE
18,19.0,3.471165,0.02000181074913276,cosmology,cmb_power_spectrum_transition,planck_TE
19,20.0,-0.21252800000000005,-0.0012246449923560788,cosmology,cmb_power_spectrum_transition,planck_TE
20,21.0,-0.9391746000000001,-0.005411783251326994,cosmology,cmb_power_spectrum_transition,planck_TE
21,22.0,1.6739916000000001,0.009646001610075566,cosmology,cmb_power_spectrum_transition,planck_TE
22,23.0,-1.4297478000000001,-0.00823860142476342,cosmology,cmb_power_spectrum_transition,planck_TE
23,24.0,3.0127528000000003,0.017360313133924728,cosmology,cmb_power_spectrum_transition,planck_TE
24,25.0,0.13861299999999988,0.0007987263622932177,cosmology,cmb_power_spectrum_transition,planck_TE
25,26.0,-1.96635,-0.01133065139990672,cosmology,cmb_power_spectrum_transition,planck_TE
26,27.0,2.546755,0.014675105197940061,cosmology,cmb_power_spectrum_transition,planck_TE
27,28.0,-2.262512,-0.013037218582706919,cosmology,cmb_power_spectrum_transition,planck_TE
28,29.0,-0.3992591999999999,-0.0023006417033618817,cosmology,cmb_power_spectrum_transition,planck_TE
29,30.0,0.10917412999999998,0.0006290914684151335,cosmology,cmb_power_spectrum_transition,planck_TE
30,31.0,1.6952112300000002,0.009768274974616468,cosmology,cmb_power_spectrum_transition,planck_TE
31,32.0,-3.3493631221,-0.019299954712140924,cosmology,cmb_power_spectrum_transition,planck_TE
32,33.0,1.2287443121000001,0.007080363851818488,cosmology,cmb_power_spectrum_transition,planck_TE
33,34.0,-3.2310487100000005,-0.018618194415606734,cosmology,cmb_power_spectrum_transition,planck_TE
34,35.0,5.90323188,0.03401605134645204,cosmology,cmb_power_spectrum_transition,planck_TE
35,36.0,2.89922966,0.01670616146959091,cosmology,cmb_power_spectrum_transition,planck_TE
36,37.0,-0.036016029999999866,-0.00020753430505178675,cosmology,cmb_power_spectrum_transition,planck_TE
37,38.0,-6.405690617,-0.03691135726441396,cosmology,cmb_power_spectrum_transition,planck_TE
38,39.0,3.850098687,0.022185331236878263,cosmology,cmb_power_spectrum_transition,planck_TE
39,40.0,-4.1000791702,-0.02362578777407634,cosmology,cmb_power_spectrum_transition,planck_TE
40,41.0,-0.7146503528,-0.004118012571717726,cosmology,cmb_power_spectrum_transition,planck_TE
41,42.0,2.547170433,0.014677499037542886,cosmology,cmb_power_spectrum_transition,planck_TE
