index,ell,gap,normalized_gap,domain,observable,source
1,2.0,711.025,0.3744294726193593,cosmology,cmb_power_spectrum_transition,planck_TT
2,3.0,-244.6819999999999,-0.12885081708723328,cosmology,cmb_power_spectrum_transition,planck_TT
3,4.0,809.4669999999999,0.42626954314232957,cosmology,cmb_power_spectrum_transition,planck_TT
4,5.0,-944.0939999999999,-0.49716482335093903,cosmology,cmb_power_spectrum_transition,planck_TT
5,6.0,595.032,0.31334695397720563,cosmology,cmb_power_spectrum_transition,planck_TT
6,7.0,-536.797,-0.2826800993124774,cosmology,cmb_power_spectrum_transition,planck_TT
7,8.0,81.97500000000002,0.043168462456273676,cosmology,cmb_power_spectrum_transition,planck_TT
8,9.0,105.83699999999999,0.05573431608398457,cosmology,cmb_power_spectrum_transition,planck_TT
9,10.0,65.92200000000003,0.03471486894836808,cosmology,cmb_power_spectrum_transition,planck_TT
10,11.0,-105.50600000000009,-0.05556000975799467,cosmology,cmb_power_spectrum_transition,planck_TT
11,12.0,-165.0709999999999,-0.08692724935796946,cosmology,cmb_power_spectrum_transition,planck_TT
12,13.0,209.13599999999997,0.11013210813364133,cosmology,cmb_power_spectrum_transition,planck_TT
13,14.0,213.97199999999998,0.11267877095082388,cosmology,cmb_power_spectrum_transition,planck_TT
14,15.0,-400.81899999999996,-0.21107337545911745,cosmology,cmb_power_spectrum_transition,planck_TT
15,16.0,414.0859999999999,0.21805984683950633,cosmology,cmb_power_spectrum_transition,planck_TT
16,17.0,-360.78499999999997,-0.18999126230297886,cosmology,cmb_power_spectrum_transition,planck_TT
17,18.0,277.0490000000001,0.14589544806402155,cosmology,cmb_power_spectrum_transition,planck_TT
18,19.0,-291.779,-0.15365234287318175,cosmology,cmb_power_spectrum_transition,planck_TT
19,20.0,-57.93900000000008,-0.03051097952124481,cosmology,cmb_power_spectrum_transition,planck_TT
20,21.0,3.370999999999981,0.0017751861779822836,cosmology,cmb_power_spectrum_transition,planck_TT
21,22.0,143.22400000000005,0.075422505237418,cosmology,cmb_power_spectrum_transition,planck_TT
22,23.0,101.97699999999998,0.05370161995612587,cosmology,cmb_power_spectrum_transition,planck_TT
23,24.0,-36.22799999999995,-0.0190778537098613,cosmology,cmb_power_spectrum_transition,planck_TT
24,25.0,9.534999999999968,0.005021180719982531,cosmology,cmb_power_spectrum_transition,planck_TT
25,26.0,180.21900000000005,0.09490426514677872,cosmology,cmb_power_spectrum_transition,planck_TT
26,27.0,145.86699999999985,0.07681432281926519,cosmology,cmb_power_spectrum_transition,planck_TT
27,28.0,-170.3219999999999,-0.08969245333915753,cosmology,cmb_power_spectrum_transition,planck_TT
28,29.0,123.23865,0.06489811571438671,cosmology,cmb_power_spectrum_transition,planck_TT
29,30.0,-338.569754,-0.1782925979186192,cosmology,cmb_power_spectrum_transition,planck_TT
30,31.0,779.6151839999999,0.41054942117529586,cosmology,cmb_power_spectrum_transition,planck_TT
31,32.0,-466.5836999999999,-0.24570540940724916,cosmology,cmb_power_spectrum_transition,planck_TT
32,33.0,-98.10797100000002,-0.05166416910978574,cosmology,cmb_power_spectrum_transition,planck_TT
33,34.0,-239.24785399999996,-0.1259891674674357,cosmology,cmb_power_spectrum_transition,planck_TT
34,35.0,382.6047050000001,0.20148163273420144,cosmology,cmb_power_spectrum_transition,planck_TT
35,36.0,401.2042299999998,0.2112762395858881,cosmology,cmb_power_spectrum_transition,planck_TT
36,37.0,-237.80782999999997,-0.1252308433200721,cosmology,cmb_power_spectrum_transition,planck_TT
37,38.0,-42.08116999999993,-0.022160163553047472,cosmology,cmb_power_spectrum_transition,planck_TT
38,39.0,471.2394999999999,0.248157177964784,cosmology,cmb_power_spectrum_transition,planck_TT
39,40.0,-287.9831999999999,-0.15165345480009204,cosmology,cmb_power_spectrum_transition,planck_TT
40,41.0,-36.00021000000015,-0.01895789830805702,cosmology,cmb_power_spectrum_transition,planck_TT
41,42.0,-155.9360099999999,-0.0821167159898275,cosmology,cmb_power_spectrum_transition,planck_TT
42,43.0,164.56805000000008,0.08666239326535127,cosmology,cmb_power_spectrum_transition,planck_TT
43,44.0,-349.49486,-0.18404581570686943,cosmology,cmb_power_spectrum_transition,planck_TT
44,45.0,98.75351999999998,0.052004118579382363,cosmology,cmb_power_spectrum_transition,planck_TT
45,46.0,790.3546200000001,0.4162048641733753,cosmology,cmb_power_spectrum_transition,planck_TT
46,47.0,-955.0049100000001,-0.5029105654515647,cosmology,cmb_power_spectrum_transition,planck_TT
47,48.0,735.73811,0.3874435252111588,cosmology,cmb_power_spectrum_transition,planck_TT
48,49.0,-12.75908000000004,-0.0067189980598547595,cosmology,cmb_power_spectrum_transition,planck_TT
49,50.0,-667.8785,-0.35170830073317927,cosmology,cmb_power_spectrum_transition,planck_TT
50,51.0,564.1819800000001,0.297101172578666,cosmology,cmb_power_spectrum_transition,planck_TT
51,52.0,-485.05620999999996,-0.2554331294976199,cosmology,cmb_power_spectrum_transition,planck_TT
52,53.0,55.30842000000007,0.029125702376161248,cosmology,cmb_power_spectrum_transition,planck_TT
53,54.0,435.1982499999999,0.22917766777872517,cosmology,cmb_power_spectrum_transition,planck_TT
54,55.0,-85.76648,-0.04516507559483679,cosmology,cmb_power_spectrum_transition,planck_TT
55,56.0,192.42489999999998,0.10133195573409226,cosmology,cmb_power_spectrum_transition,planck_TT
56,57.0,26.899200000000064,0.014165258985102767,cosmology,cmb_power_spectrum_transition,planck_TT
57,58.0,-275.47533,-0.14506674523616464,cosmology,cmb_power_spectrum_transition,planck_TT
58,59.0,323.30835,0.17025586299206813,cosmology,cmb_power_spectrum_transition,planck_TT
59,60.0,-431.29745,-0.22712348615811612,cosmology,cmb_power_spectrum_transition,planck_TT
60,61.0,806.07295,0.4244822187141538,cosmology,cmb_power_spectrum_transition,planck_TT
61,62.0,-423.1212700000001,-0.22281786713566132,cosmology,cmb_power_spectrum_transition,planck_TT
62,63.0,-499.6206299999999,-0.26310282901536797,cosmology,cmb_power_spectrum_transition,planck_TT
63,64.0,610.5763,0.3215326634125097,cosmology,cmb_power_spectrum_transition,planck_TT
64,65.0,-226.44513000000006,-0.11924718624960064,cosmology,cmb_power_spectrum_transition,planck_TT
65,66.0,33.37282000000005,0.017574301033607576,cosmology,cmb_power_spectrum_transition,planck_TT
66,67.0,106.43945000000008,0.05605156939544277,cosmology,cmb_power_spectrum_transition,planck_TT
67,68.0,511.23542,0.26921923799435554,cosmology,cmb_power_spectrum_transition,planck_TT
68,69.0,-416.86318000000006,-0.21952232430903146,cosmology,cmb_power_spectrum_transition,planck_TT
69,70.0,-77.09373000000005,-0.04059796022103203,cosmology,cmb_power_spectrum_transition,planck_TT
70,71.0,-271.80690000000004,-0.14313493086924223,cosmology,cmb_power_spectrum_transition,planck_TT
71,72.0,1189.22684,0.6262530551330646,cosmology,cmb_power_spectrum_transition,planck_TT
72,73.0,-687.43436,-0.3620065185826473,cosmology,cmb_power_spectrum_transition,planck_TT
73,74.0,-133.78341999999998,-0.07045104658178579,cosmology,cmb_power_spectrum_transition,planck_TT
74,75.0,-4.454079999999976,-0.0023455417536717093,cosmology,cmb_power_spectrum_transition,planck_TT
75,76.0,44.00070000000005,0.02317099806038137,cosmology,cmb_power_spectrum_transition,planck_TT
76,77.0,-254.84860000000003,-0.13420460166067588,cosmology,cmb_power_spectrum_transition,planck_TT
77,78.0,-168.13879999999995,-0.08854276883492411,cosmology,cmb_power_spectrum_transition,planck_TT
78,79.0,821.6380899999999,0.43267890260212744,cosmology,cmb_power_spectrum_transition,planck_TT
79,80.0,-272.57088999999996,-0.143537251987046,cosmology,cmb_power_spectrum_transition,planck_TT
80,81.0,775.89347,0.4085895471761256,cosmology,cmb_power_spectrum_transition,planck_TT
81,82.0,-685.59474,-0.3610377650980019,cosmology,cmb_power_spectrum_transition,planck_TT
82,83.0,-593.16668,-0.3123646667385483,cosmology,cmb_power_spectrum_transition,planck_TT
83,84.0,726.0068199999998,0.3823189771536276,cosmology,cmb_power_spectrum_transition,planck_TT
84,85.0,257.25025000000005,0.13546932307401058,cosmology,cmb_power_spectrum_transition,planck_TT
85,86.0,-345.5953599999998,-0.181992318673039,cosmology,cmb_power_spectrum_transition,planck_TT
86,87.0,-405.71936000000005,-0.21365393058790338,cosmology,cmb_power_spectrum_transition,planck_TT
87,88.0,1155.4295900000002,0.6084552470482791,cosmology,cmb_power_spectrum_transition,planck_TT
88,89.0,-674.5386500000004,-0.3552155704523396,cosmology,cmb_power_spectrum_transition,planck_TT
89,90.0,159.01495999999997,0.08373810711492354,cosmology,cmb_power_spectrum_transition,planck_TT
90,91.0,167.49774000000025,0.08820518329613539,cosmology,cmb_power_spectrum_transition,planck_TT
91,92.0,232.57616000000007,0.12247581861767978,cosmology,cmb_power_spectrum_transition,planck_TT
92,93.0,-660.8221000000003,-0.34799236369778513,cosmology,cmb_power_spectrum_transition,planck_TT
93,94.0,4.931810000000041,0.0025971168627810528,cosmology,cmb_power_spectrum_transition,planck_TT
94,95.0,209.29964000000018,0.1102182818109375,cosmology,cmb_power_spectrum_transition,planck_TT
95,96.0,295.3304800000001,0.15552257076027184,cosmology,cmb_power_spectrum_transition,planck_TT
96,97.0,-440.7824700000001,-0.23211834714947943,cosmology,cmb_power_spectrum_transition,planck_TT
