t,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19
0,1.0020586,0.98719764,0.99396443,0.99942315,1.0000751,1.0034038,1.0051968,1.0006862,1.0001144,0.99406767,0.99317425,1.0018243,1.0002539,1.0100956,1.0044162,0.99824363,1.0004992,0.99502438,0.98878121,1.003147
1,-1.0005536,-0.9727664,-0.98504579,-0.99608332,-0.98431939,-0.99574661,-1.0012062,-0.99809927,-0.99866098,-0.99443501,-0.99254018,-1.0000094,-0.99760532,-1.0047355,-1.0002502,-0.98146933,-0.99716926,-0.98832273,-0.97859126,-1.001895
2,0.99467891,0.96834314,0.98108,0.9911896,0.98239809,0.989676,0.99650931,0.99196082,0.99742991,0.99189419,0.9879908,0.99401712,0.99142158,1.000996,0.99635178,0.98547125,0.99147093,0.98788345,0.9699738,0.99832797
3,-0.99354619,-0.94825792,-0.96869034,-0.98401409,-0.96674073,-0.98373318,-0.98988527,-0.98382592,-0.99694157,-0.98944855,-0.98514253,-0.99371475,-0.98470616,-0.99068063,-0.99390668,-0.97376251,-0.98368663,-0.98201299,-0.95589405,-0.99572933
4,0.99878412,0.94241524,0.96057189,0.97667265,0.97282892,0.97703803,0.98581201,0.97438353,0.9909811,0.98325467,0.97967595,0.987288,0.97685623,0.98525774,0.98324978,0.96709138,0.97280902,0.97590864,0.93820924,0.9973762
5,-0.99758542,-0.92240232,-0.94747442,-0.96636939,-0.95017213,-0.96928203,-0.97986799,-0.96290457,-0.99427551,-0.98165733,-0.98031425,-0.99044073,-0.96919405,-0.97872198,-0.98003685,-0.97032624,-0.9601447,-0.97188449,-0.93217105,-0.99845523
6,0.99844801,0.91323334,0.94061351,0.95893192,0.95661455,0.96185076,0.97125566,0.95251381,0.98919624,0.97529638,0.97736782,0.98259103,0.96327162,0.97228861,0.9716652,0.96401858,0.95545346,0.97325641,0.92165411,1.0021647
7,-0.99891895,-0.89859301,-0.9263348,-0.95054418,-0.9457562,-0.95129412,-0.96252912,-0.93666387,-0.99234128,-0.97709566,-0.96831542,-0.98390704,-0.9558087,-0.96576846,-0.97532457,-0.95383239,-0.94604003,-0.96277171,-0.92051184,-1.0024711
8,0.99739003,0.89128286,0.92541254,0.94968367,0.94500512,0.94887012,0.95705873,0.92585862,0.97612822,0.96482831,0.97042447,0.98490113,0.95139772,0.96114165,0.96020359,0.95616972,0.94114447,0.96462041,0.91174698,1.0016423
9,-0.99792212,-0.88085943,-0.9103893,-0.94115007,-0.94711167,-0.93506306,-0.94800675,-0.91234243,-0.97921163,-0.96298647,-0.96253467,-0.98128057,-0.94324994,-0.94876385,-0.96517003,-0.94007295,-0.93411374,-0.95045656,-0.91314864,-1.0005188
