type,A_name,A_class,B_name,B_class,R_sim
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,helium_II_levels_raw_canonical.csv,unknown,1.0
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,helium_levels_raw_canonical.csv,unknown,0.9999998575233434
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,planck_EE_canonical.csv,unknown,-0.07814138812623776
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,planck_TE_canonical.csv,unknown,-0.18545320452971975
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,planck_TT_canonical.csv,unknown,-0.055122299999664115
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2c14_1_bkg_hit_canonical.csv,unknown,0.13701042608026393
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2c14_1_bkg_phi_canonical.csv,unknown,-0.29319906850131283
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2c14_1_bkg_theta_canonical.csv,unknown,0.000775706885869522
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2c14_1_bkgdr_hit_canonical.csv,unknown,9.754312813004229e-05
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2c14_1_bkgdr_phi_canonical.csv,unknown,-0.29319906850131283
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2c14_1_bkgdr_theta_canonical.csv,unknown,9.754312813004229e-05
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2doubleC14_canonical.csv,unknown,-0.29319906850131283
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2fiveC14_canonical.csv,unknown,-0.29319906850131283
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2fourC14_canonical.csv,unknown,-0.29319906850131283
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2singleC14_canonical.csv,unknown,-0.29319906850131283
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_bkg2tripleC14_canonical.csv,unknown,-0.29319906850131283
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_deepL_Graph_1_canonical.csv,unknown,0.12872008575960647
real_vs_real,helium_II_levels_raw_canonical.csv,unknown,L_deepL_Graph_2_canonical.csv,unknown,-0.2252764887383986
