type,A_name,A_class,B_name,B_class,R_sim
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,helium_II_levels_raw_canonical.csv,unknown,-0.7391276368394237
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,helium_levels_raw_canonical.csv,unknown,-0.7387795318093024
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,planck_EE_canonical.csv,unknown,-0.0677612152216362
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,planck_TE_canonical.csv,unknown,0.2009319799963377
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,planck_TT_canonical.csv,unknown,-0.13177048533344113
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2c14_1_bkg_hit_canonical.csv,unknown,-0.6804061926904567
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2c14_1_bkg_phi_canonical.csv,unknown,0.7181441574939605
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2c14_1_bkg_theta_canonical.csv,unknown,-0.3348991322793515
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2c14_1_bkgdr_hit_canonical.csv,unknown,-0.3332070323288539
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2c14_1_bkgdr_phi_canonical.csv,unknown,0.7181441574939605
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2c14_1_bkgdr_theta_canonical.csv,unknown,-0.3332070323288539
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2doubleC14_canonical.csv,unknown,0.7181441574939605
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2fiveC14_canonical.csv,unknown,0.7181441574939605
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2fourC14_canonical.csv,unknown,0.7181441574939605
adversarial_vs_real,uniform_02e51ec93b3a_canonical.csv,unknown,L_bkg2singleC14_canonical.csv,unknown,0.7181441574939605
