value,transition_id,transition_name,phase,batch,transition_family,encoding,initial_objects,final_objects,initial_symbols,final_symbols,initial_Q_sum,final_Q_sum,charge_balance_error,charge_conserved,initial_layers,final_layers,layer_transition,route_transition,closure_transition,category_transition,transition_class,source_file,source_note,notes
2.0,T001,neutron_beta_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,charged_multiplicity_delta,neutron,proton;electron;electron_antineutrino,n,p;e-;anti_nu_e,0.0,0.0,0.0,TRUE,C,C;A;A,C->C;A;A,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,baryon->baryon;lepton;lepton,COMPOSITE_TO_COMPOSITE_PLUS_EXTERNALS,rpp2026-sum-baryons.pdf; rpp2026-sum-leptons.pdf,n -> p + e- + anti_nu_e.,Original Phase 3 seed transition retained for continuity.
0.0,T002,positive_pion_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,charged_multiplicity_delta,pi_plus,muon_plus;muon_neutrino,pi+,mu+;nu_mu,1.0,1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson->lepton;lepton,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,pi+ -> mu+ + nu_mu.,Original Phase 3 seed transition retained for continuity.
0.0,T003,negative_muon_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,charged_multiplicity_delta,muon_minus,electron;electron_antineutrino;muon_neutrino,mu-,e-;anti_nu_e;nu_mu,-1.0,-1.0,0.0,TRUE,A,A;A;A,A->A;A;A,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,lepton->lepton;lepton;lepton,LEPTONIC_EXTERNAL_DECAY,rpp2026-sum-leptons.pdf,mu- -> e- + anti_nu_e + nu_mu.,Original Phase 3 seed transition retained for continuity.
0.0,T004,w_minus_leptonic_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,charged_multiplicity_delta,w_minus,electron;electron_antineutrino,W-,e-;anti_nu_e,-1.0,-1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson->lepton;lepton,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W- -> e- + anti_nu_e.,Original Phase 3 seed transition retained for continuity.
0.0,T005,w_plus_leptonic_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,charged_multiplicity_delta,w_plus,positron;electron_neutrino,W+,e+;nu_e,1.0,1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson->lepton;lepton,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W+ -> e+ + nu_e.,Original Phase 3 seed transition retained for continuity.
0.0,T006,neutral_pion_two_photon_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,charged_multiplicity_delta,pi_zero,photon;photon,pi0,gamma;gamma,0.0,0.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_NEUTRAL_ROUTE->FREE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->FREE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,meson->gauge_boson;gauge_boson,NEUTRAL_COMPOSITE_TO_RADIATION,rpp2026-sum-mesons.pdf; rpp2026-sum-gauge-higgs-bosons.pdf,pi0 -> gamma + gamma.,Original Phase 3 seed transition retained for continuity.
0.0,T007,positive_kaon_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,charged_multiplicity_delta,k_plus,muon_plus;muon_neutrino,K+,mu+;nu_mu,1.0,1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson->lepton;lepton,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,K+ -> mu+ + nu_mu.,Original Phase 3 seed transition retained for continuity.
0.0,T008,negative_pion_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,charged_multiplicity_delta,pi_minus,muon_minus;muon_antineutrino,pi-,mu-;anti_nu_mu,-1.0,-1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson->lepton;lepton,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,pi- -> mu- + anti_nu_mu.,Charge-conjugate counterpart of positive pion muonic decay.
0.0,T009,positive_pion_electronic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,charged_multiplicity_delta,pi_plus,positron;electron_neutrino,pi+,e+;nu_e,1.0,1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson->lepton;lepton,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,pi+ -> e+ + nu_e.,Leptonic charged pion electronic channel.
0.0,T010,negative_pion_electronic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,charged_multiplicity_delta,pi_minus,electron;electron_antineutrino,pi-,e-;anti_nu_e,-1.0,-1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson->lepton;lepton,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,pi- -> e- + anti_nu_e.,Charge-conjugate electronic pion channel.
