n,value
1,0.0
2,0.00011055222011613353
3,0.0006632474373712283
4,0.0014369812115332392
5,0.002542305762718078
6,0.0028739624230664784
7,0.00862168961922305
8,0.008732241839339183
9,0.05681445276581032
10,0.057035557206042586
11,0.13120379319293307
12,0.13164593619007203
13,0.13219856552400178
14,0.13341444229530275
15,0.1382778834971813
16,0.13838836983397196
17,0.13860947427420423
18,0.13938320804836613
19,0.14093067559669004
20,0.15518954019195363
21,0.15596327396611553
22,0.15795288451157852
23,0.16613236525033714
24,0.1672376898015221
25,0.16734824202163823
26,0.17132746311256408
27,0.21631477188405018
28,0.22095724041234738
29,0.2210677926324635
30,0.22482597516648267
31,0.22593136560099297
32,0.22858415770050183
33,0.2294683778114544
34,0.22957886414824508
35,0.2296894163683612
36,0.22991052080859348
37,0.23035266380573255
38,0.23046321602584868
39,0.23499513233402974
40,0.2471539000470398
41,0.24759604304417887
42,0.2573229913312614
43,0.2580967251054234
44,0.3194430282960895
45,0.3300542625774502
46,0.3352493604396771
47,0.3449763746100851
48,0.34530796538710806
49,0.34552900394401476
50,0.372388713366102
51,0.40643319707920456
52,0.4067647878562274
53,0.46181066863348164
54,0.46192122085359777
55,0.462473916070853
56,0.46258440240764365
57,0.46269495462775967
58,0.4655687852841752
59,0.4656792716209659
60,0.4659003101778727
61,0.4664530053951279
62,0.4692163497147528
63,0.48723333096071
64,0.5017132341128804
65,0.5027080723272745
66,0.5046976828727374
67,0.5049187214296442
68,0.5059135596440385
69,0.5072399227521303
70,0.5420580743560692
71,0.5430528466871379
72,0.5442687234584389
73,0.544710866455578
74,0.585166258918883
75,0.5858294404729288
76,0.5864926220269747
77,0.5885927847925538
78,0.5891454141264835
79,0.5893665185667157
80,0.5964406747542895
81,0.6357907097247468
82,0.6359011960615375
83,0.6370065206127223
84,0.6371170728328385
85,0.6376697021667682
86,0.6395488263754405
87,0.6401015215926956
88,0.6403225601496024
89,0.6404331123697186
90,0.668729803003339
91,0.6716036995430801
92,0.6722668810971258
93,0.6741459394224727
94,0.6756934069707966
95,0.6761355499679357
96,0.6762460363047264
97,0.6779040560731664
98,0.6785672376272122
99,0.7039900317210915
100,0.7041005180578822
101,0.704432108834905
102,0.704763699611928
103,0.707637596151669
104,0.7079691869286919
105,0.7139380185650808
106,0.7385870788847982
107,0.7399134419928899
108,0.7423451955354918
109,0.744445358301071
110,0.7449980535183262
111,0.7473192548408121
112,0.7531775342570848
113,0.7537302294743399
114,0.7551672106858731
115,0.7692050367242299
116,0.769315588944346
117,0.771305199489809
118,0.7749528298037119
119,0.8710067735552793
120,0.8713383643323023
121,0.8723332025466964
122,0.8754281376433443
123,0.8768651188548775
124,0.8770862232951098
125,0.877307327735342
126,0.8779705092893878
127,0.8780810615095039
128,0.8787442430635498
129,0.8995246345124576
130,0.9002983682866195
131,0.9005194068435263
132,0.9009615498406653
133,0.9011826542808976
134,0.9012931406176883
135,0.9060460954827761
136,0.906709277036822
137,0.907483010810984
138,0.907814601588007
139,0.91312025167035
140,0.9136729468876053
141,0.9137834991077214
142,0.9248369422695465
143,0.9257212282638246
144,0.9290372678007047
145,0.9340112612226994
146,0.9361114239882785
147,0.9366641192055337
148,0.9367746714256497
149,0.9369957099825565
150,0.9373273007595795
151,0.9376589574199279
152,0.937769509640044
153,0.9392064249682518
154,0.9418592170677605
155,0.9523599650123306
156,0.9707086029186363
157,0.9708191551387524
158,0.9711507459157753
159,0.9722560704669602
160,0.9725877271273086
161,0.9739140902354002
162,0.9792197403177433
163,0.9794407788746501
164,0.9798829218717892
165,0.9839726951828313
166,0.9850780197340161
167,0.9942522728038434
168,0.998784123228699
169,0.9996684092229771
170,0.9998894477798839
171,1.0
