transition_id,transition_label,phase3C_group,group_name,transition_status,initial_state,final_state,Qi,Qf,charge_balance_error,electric_charge_violation_flag,free_fractional_externalization_flag,selection_violation_flag,route_incoherence_flag,constrained_flag,boundary_candidate_flag,forbidden_flag,allowed_control_flag,expected_boundary_response,expected_chamber_behavior,audit_status,notes
P3C_A001,neutron_beta_decay,A,allowed_control,allowed_control,neutron,proton + electron_minus + anti_neutrino_e,0.0,0.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,neutron_beta_decay
P3C_A002,positive_pion_muonic_decay,A,allowed_control,allowed_control,pi_plus,mu_plus + nu_mu,1.0,1.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,positive_pion_muonic_decay
P3C_A003,negative_muon_decay,A,allowed_control,allowed_control,mu_minus,electron_minus + anti_neutrino_e + nu_mu,-1.0,-1.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,negative_muon_decay
P3C_A004,w_minus_leptonic_decay,A,allowed_control,allowed_control,W_minus,electron_minus + anti_neutrino_e,-1.0,-1.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,w_minus_leptonic_decay
P3C_A005,w_plus_leptonic_decay,A,allowed_control,allowed_control,W_plus,positron + nu_e,1.0,1.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,w_plus_leptonic_decay
P3C_A006,neutral_pion_two_photon_decay,A,allowed_control,allowed_control,pi0,gamma + gamma,0.0,0.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,neutral_pion_two_photon_decay
P3C_A007,positive_kaon_muonic_decay,A,allowed_control,allowed_control,K_plus,mu_plus + nu_mu,1.0,1.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,positive_kaon_muonic_decay
P3C_A008,negative_kaon_muonic_decay,A,allowed_control,allowed_control,K_minus,mu_minus + anti_neutrino_mu,-1.0,-1.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,negative_kaon_muonic_decay
P3C_A009,delta_pp_to_proton_pi_plus,A,allowed_control,allowed_control,Delta_plus_plus,proton + pi_plus,2.0,2.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,delta_pp_to_proton_pi_plus
P3C_A010,omega_minus_to_lambda0_kminus,A,allowed_control,allowed_control,Omega_minus,Lambda0 + K_minus,-1.0,-1.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,omega_minus_to_lambda0_kminus
