transition_id,initial_state,final_state,Qi,Qf,error,abs_error,expected_balanced,balance_status,expectation_status
P3C_A001,neutron,proton + electron_minus + anti_neutrino_e,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A002,pi_plus,mu_plus + nu_mu,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A003,mu_minus,electron_minus + anti_neutrino_e + nu_mu,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A004,W_minus,electron_minus + anti_neutrino_e,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A005,W_plus,positron + nu_e,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A006,pi0,gamma + gamma,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A007,K_plus,mu_plus + nu_mu,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A008,K_minus,mu_minus + anti_neutrino_mu,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A009,Delta_plus_plus,proton + pi_plus,2.0,2.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A010,Omega_minus,Lambda0 + K_minus,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A011,Z0,electron_minus + positron,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_A012,Higgs,gamma + gamma,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_B001,neutron,proton + nu_e,0.0,1.0,1.0,1.0,0,FAIL_CHARGE_VIOLATION,EXPECTED_VIOLATION
P3C_B002,electron_minus,nu_e + gamma,-1.0,0.0,1.0,1.0,0,FAIL_CHARGE_VIOLATION,EXPECTED_VIOLATION
P3C_B003,proton,neutron + gamma,1.0,0.0,-1.0,1.0,0,FAIL_CHARGE_VIOLATION,EXPECTED_VIOLATION
P3C_B004,pi_plus,gamma + gamma,1.0,0.0,-1.0,1.0,0,FAIL_CHARGE_VIOLATION,EXPECTED_VIOLATION
P3C_B005,W_plus,electron_minus + nu_e,1.0,-1.0,-2.0,2.0,0,FAIL_CHARGE_VIOLATION,EXPECTED_VIOLATION
P3C_B006,mu_minus,gamma + nu_mu,-1.0,0.0,1.0,1.0,0,FAIL_CHARGE_VIOLATION,EXPECTED_VIOLATION
