Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""1s""","=""2S""","=""1/2""","=""""","=""0.0000""","=""""","=""0.000008""","="" 100                    ""","="""""
"=""2p""","=""2P*""","=""1/2""","=""(""","=""329179.2939406""","="")""","=""0.0000086""","="" 100                    ""","=""L19200"""
"=""2s""","=""2S""","=""1/2""","=""(""","=""329179.762313""","="")""","=""0.000009""","="" 100                    ""","=""L19200"""
"=""2p""","=""2P*""","=""3/2""","=""(""","=""329185.15110923""","="")""","=""0.00000863""","="" 100                    ""","=""L19200"""
"=""3p""","=""2P*""","=""1/2""","=""(""","=""390140.8249696""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""3s""","=""2S""","=""1/2""","=""(""","=""390140.964517""","="")""","=""0.000005""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""3/2""","=""(""","=""390142.55757536""","="")""","=""0.00000008""","="" 100                    ""","=""L3620c107"""
"=""3p""","=""2P*""","=""3/2""","=""(""","=""390142.5604306""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""5/2""","=""(""","=""390143.13600712""","="")""","=""0.00000006""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""1/2""","=""(""","=""411477.1227550""","="")""","=""0.0000008""","="" 100                    ""","=""L3620c107"""
"=""4s""","=""2S""","=""1/2""","=""(""","=""411477.1817529""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""3/2""","=""(""","=""411477.853680""","="")""","=""0.000009""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""3/2""","=""(""","=""411477.8548989""","="")""","=""0.0000004""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""5/2""","=""(""","=""411478.097267""","="")""","=""0.000004""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""5/2""","=""(""","=""411478.097707""","="")""","=""0.000009""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""7/2""","=""(""","=""411478.219277""","="")""","=""0.000004""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""1/2""","=""(""","=""421352.6789311""","="")""","=""0.0000004""","="" 100                    ""","=""L3620c107"""
"=""5s""","=""2S""","=""1/2""","=""(""","=""421352.709172""","="")""","=""0.000003""","="" 100                    ""","=""L3620c107"""
"=""5d""","=""2D""","=""3/2""","=""(""","=""421353.053159""","="")""","=""0.000006""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""3/2""","=""(""","=""421353.05378699""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""5f""","=""2F*""","=""5/2""","=""(""","=""421353.177874""","="")""","=""0.000004""","="" 100                    ""","=""L3620c107"""
"=""5d""","=""2D""","=""5/2""","=""(""","=""421353.178101""","="")""","=""0.000006""","="" 100                    ""","=""L3620c107"""
"=""5g""","=""2G""","=""7/2""","=""(""","=""421353.2402246""","="")""","=""0.0000007""","="" 100                    ""","=""L3620c107"""
"=""5f""","=""2F*""","=""7/2""","=""(""","=""421353.240343""","="")""","=""0.000004""","="" 100                    ""","=""L3620c107"""
"=""5g""","=""2G""","=""9/2""","=""(""","=""421353.2777059""","="")""","=""0.0000007""","="" 100                    ""","=""L3620c107"""
"=""6p""","=""2P*""","=""1/2""","=""(""","=""426717.1361554""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""6s""","=""2S""","=""1/2""","=""(""","=""426717.1536654""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""6d""","=""2D""","=""3/2""","=""(""","=""426717.352717""","="")""","=""0.000004""","="" 100                    ""","=""L3620c107"""
"=""6p""","=""2P*""","=""3/2""","=""(""","=""426717.3530854""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""6f""","=""2F*""","=""5/2""","=""(""","=""426717.424890""","="")""","=""0.000003""","="" 100                    ""","=""L3620c107"""
"=""6d""","=""2D""","=""5/2""","=""(""","=""426717.425022""","="")""","=""0.000004""","="" 100                    ""","=""L3620c107"""
"=""6g""","=""2G""","=""7/2""","=""(""","=""426717.4609726""","="")""","=""0.0000009""","="" 100                    ""","=""L3620c107"""
"=""6f""","=""2F*""","=""7/2""","=""(""","=""426717.461041""","="")""","=""0.000003""","="" 100                    ""","=""L3620c107"""
"=""6h""","=""2H*""","=""9/2""","=""(""","=""426717.48262081""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""6g""","=""2G""","=""9/2""","=""(""","=""426717.4826633""","="")""","=""0.0000009""","="" 100                    ""","=""L3620c107"""
"=""6h""","=""2H*""","=""11/2""","=""(""","=""426717.49708121""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""7p""","=""2P*""","=""1/2""","=""(""","=""429951.7150373""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""7s""","=""2S""","=""1/2""","=""(""","=""429951.7260676""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""7d""","=""2D""","=""3/2""","=""(""","=""429951.851412""","="")""","=""0.000003""","="" 100                    ""","=""L3620c107"""
"=""7p""","=""2P*""","=""3/2""","=""(""","=""429951.8516453""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""7f""","=""2F*""","=""5/2""","=""(""","=""429951.8968623""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""7d""","=""2D""","=""5/2""","=""(""","=""429951.896945""","="")""","=""0.000003""","="" 100                    ""","=""L3620c107"""
"=""7g""","=""2G""","=""7/2""","=""(""","=""429951.9195841""","="")""","=""0.0000008""","="" 100                    ""","=""L3620c107"""
"=""7f""","=""2F*""","=""7/2""","=""(""","=""429951.9196283""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""7h""","=""2H*""","=""9/2""","=""(""","=""429951.9332167""","="")""","=""0.0000003""","="" 100                    ""","=""L3620c107"""
"=""7g""","=""2G""","=""9/2""","=""(""","=""429951.9332435""","="")""","=""0.0000008""","="" 100                    ""","=""L3620c107"""
"=""7i""","=""2I""","=""11/2""","=""(""","=""429951.94230466""","="")""","=""0.00000007""","="" 100                    ""","=""L3620c107"""
"=""7h""","=""2H*""","=""11/2""","=""(""","=""429951.9423230""","="")""","=""0.0000003""","="" 100                    ""","=""L3620c107"""
"=""7i""","=""2I""","=""13/2""","=""(""","=""429951.94880910""","="")""","=""0.00000007""","="" 100                    ""","=""L3620c107"""
"=""8p""","=""2P*""","=""1/2""","=""(""","=""432051.0711584""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""8s""","=""2S""","=""1/2""","=""(""","=""432051.0785504""","="")""","=""0.0000008""","="" 100                    ""","=""L3620c107"""
"=""8d""","=""2D""","=""3/2""","=""(""","=""432051.1625182""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""8p""","=""2P*""","=""3/2""","=""(""","=""432051.1626754""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""8f""","=""2F*""","=""5/2""","=""(""","=""432051.1929662""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""8d""","=""2D""","=""5/2""","=""(""","=""432051.1930212""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""8g""","=""2G""","=""7/2""","=""(""","=""432051.2081883""","="")""","=""0.0000006""","="" 100                    ""","=""L3620c107"""
"=""8f""","=""2F*""","=""7/2""","=""(""","=""432051.2082172""","="")""","=""0.000002""","="" 100                    ""","=""L3620c107"""
"=""8h""","=""2H*""","=""9/2""","=""(""","=""432051.2173210""","="")""","=""0.0000003""","="" 100                    ""","=""L3620c107"""
"=""8g""","=""2G""","=""9/2""","=""(""","=""432051.2173390""","="")""","=""0.0000006""","="" 100                    ""","=""L3620c107"""
"=""8i""","=""2I""","=""11/2""","=""(""","=""432051.22340924""","="")""","=""0.00000010""","="" 100                    ""","=""L3620c107"""
"=""8h""","=""2H*""","=""11/2""","=""(""","=""432051.2234215""","="")""","=""0.0000003""","="" 100                    ""","=""L3620c107"""
"=""8k""","=""2K*""","=""13/2""","=""(""","=""432051.22775782""","="")""","=""0.00000003""","="" 100                    ""","=""L3620c107"""
"=""8i""","=""2I""","=""13/2""","=""(""","=""432051.22776674""","="")""","=""0.00000010""","="" 100                    ""","=""L3620c107"""
"=""8k""","=""2K*""","=""15/2""","=""(""","=""432051.23102591""","="")""","=""0.00000003""","="" 100                    ""","=""L3620c107"""
"=""9p""","=""2P*""","=""1/2""","=""(""","=""433490.3773261""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""9s""","=""2S""","=""1/2""","=""(""","=""433490.3825181""","="")""","=""0.0000006""","="" 100                    ""","=""L3620c107"""
"=""9d""","=""2D""","=""3/2""","=""(""","=""433490.4414901""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""9p""","=""2P*""","=""3/2""","=""(""","=""433490.4416001""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""9f""","=""2F*""","=""5/2""","=""(""","=""433490.4628741""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""9d""","=""2D""","=""5/2""","=""(""","=""433490.4629131""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""9g""","=""2G""","=""7/2""","=""(""","=""433490.4735653""","="")""","=""0.0000005""","="" 100                    ""","=""L3620c107"""
"=""9f""","=""2F*""","=""7/2""","=""(""","=""433490.4735861""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""9h""","=""2H*""","=""9/2""","=""(""","=""433490.47997948""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""9g""","=""2G""","=""9/2""","=""(""","=""433490.4799922""","="")""","=""0.0000005""","="" 100                    ""","=""L3620c107"""
"=""9i""","=""2I""","=""11/2""","=""(""","=""433490.48425549""","="")""","=""0.00000010""","="" 100                    ""","=""L3620c107"""
"=""9h""","=""2H*""","=""11/2""","=""(""","=""433490.48426408""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""9k""","=""2K*""","=""13/2""","=""(""","=""433490.48730958""","="")""","=""0.00000004""","="" 100                    ""","=""L3620c107"""
"=""9i""","=""2I""","=""13/2""","=""(""","=""433490.48731579""","="")""","=""0.00000010""","="" 100                    ""","=""L3620c107"""
