node_id,time_idx,time_value,scale_idx,scale_value,object_id,size,weight,cx,cy,cz,family_id
r_t0,0,0.0,0,0.0,r_t0,2.0,2.0,0.0,0.0,0.0,R
a_t0,0,0.0,1,1.0,a_t0,1.0,1.0,1.0,0.0,0.0,A
b_t0,0,0.0,1,1.0,b_t0,1.0,1.0,1.0,0.0,0.0,B
a2_t0,0,0.0,2,2.0,a2_t0,1.0,1.0,2.0,0.0,0.0,A
b2_t0,0,0.0,2,2.0,b2_t0,1.0,1.0,2.0,0.0,0.0,B
r_t1,1,1.0,0,0.0,r_t1,2.0,2.0,0.0,1.0,0.0,R
a_t1,1,1.0,1,1.0,a_t1,1.0,1.0,1.0,1.0,0.0,A
b_t1,1,1.0,1,1.0,b_t1,1.0,1.0,1.0,1.0,0.0,B
a2_t1,1,1.0,2,2.0,a2_t1,1.0,1.0,2.0,1.0,0.0,A
b2_t1,1,1.0,2,2.0,b2_t1,1.0,1.0,2.0,1.0,0.0,B
r_t2,2,2.0,0,0.0,r_t2,2.0,2.0,0.0,2.0,0.0,R
a_t2,2,2.0,1,1.0,a_t2,1.0,1.0,1.0,2.0,0.0,A
b_t2,2,2.0,1,1.0,b_t2,1.0,1.0,1.0,2.0,0.0,B
a2_t2,2,2.0,2,2.0,a2_t2,1.0,1.0,2.0,2.0,0.0,A
b2_t2,2,2.0,2,2.0,b2_t2,1.0,1.0,2.0,2.0,0.0,B
