case_id,value
INT01,0
INT01,0.69314718055994529
INT01,1.0986122886681098
INT01,1.3862943611198906
INT01,1.791759469228055
INT01,2.0794415416798357
INT01,2.1972245773362196
INT01,2.4849066497880004
INT01,2.7725887222397811
INT01,2.890371757896165
INT01,3.1780538303479453
INT01,3.2958368660043291
INT01,3.4657359027997265
INT01,3.5835189384561099
INT01,3.8712010109078907
INT01,3.9889840465642745
INT01,4.1588830833596715
INT01,4.2766661190160553
INT01,4.3944491546724391
INT01,4.5643481914678361
INT01,4.6821312271242199
INT01,4.8520302639196169
INT01,4.9698132995760007
INT01,5.0875963352323845
INT01,5.2574953720277815
INT01,5.3752784076841653
INT01,5.4930614433405491
INT01,5.5451774444795623
INT01,5.6629604801359461
INT01,5.7807435157923299
INT01,5.9506425525877269
INT01,6.0684255882441107
INT01,6.1862086239004945
INT01,6.2383246250395077
INT01,6.3561076606958906
INT01,6.4738906963522744
INT01,6.5916737320086582
INT01,6.6437897331476723
INT01,6.7615727688040561
INT01,6.8793558044604399
INT01,6.9314718055994531
INT01,7.049254841255836
INT01,7.1670378769122198
INT01,7.2848209125686036
INT01,7.3369369137076177
INT01,7.4547199493640006
INT01,7.5725029850203853
INT01,7.6246189861593985
INT01,7.6902860206767683
INT01,7.7424020218157814
INT01,7.8601850574721652
INT01,7.977968093128549
INT01,8.0300840942675631
INT01,8.1478671299239451
INT01,8.2656501655803307
INT01,8.317766166719343
INT01,8.3834332012367128
INT01,8.4355492023757268
INT01,8.5533322380321106
INT01,8.6711152736884944
INT01,8.7232312748275085
INT01,8.7888983093448783
INT01,8.8410143104838923
INT01,8.9587973461402761
INT01,9.0109133472792884
INT01,9.0765803817966582
INT01,9.1286963829356722
INT01,9.246479418592056
INT01,9.3642624542484398
INT01,9.4163784553874521
INT01,9.4820454899048237
INT01,9.5341614910438359
INT01,9.6519445267002197
INT01,9.7040605278392338
INT01,9.7697275623566036
INT01,9.8218435634956176
INT01,9.8875105980129874
INT01,9.9396265991520014
INT01,10.057409634808385
INT01,10.109525635947398
INT01,10.175192670464769
INT01,10.227308671603783
INT01,10.345091707260167
INT01,10.397207708399179
INT01,10.462874742916549
INT01,10.514990744055563
