file,metric,n,unique,min,median,max
tcv_lh__event_time.csv,event_time,92,86,0.814,1.1269999999999998,2.03
tcv_lh__P_LH_candidate_MW.csv,P_LH_candidate_MW,92,92,0.1945875518458535,0.33231927617417434,0.536237461962208
tcv_lh__P_loss_candidate_MW.csv,P_loss_candidate_MW,89,89,0.2532235331,0.557807564599999,1.0698325156
tcv_lh__P_total_candidate_MW.csv,P_total_candidate_MW,92,92,0.4028102723670823,0.7935569769955841,1.2134553649754944
tcv_lh__P_total_aux_candidate_MW.csv,P_total_aux_candidate_MW,89,89,0.3073691855999999,0.6145075932499998,1.058948753
tcv_lh__dWmhd_dt_candidate_MW.csv,dWmhd_dt_candidate_MW,92,92,-0.1132410486772603,0.07596973869320295,0.1373462091183295
tcv_lh__Wmhd_J.csv,Wmhd_J,92,92,5805.718683416192,10825.996158403841,14377.56565163352
tcv_lh__n_e_1e20_m3.csv,n_e_1e20_m3,92,92,0.2246836237095592,0.476815330240559,0.9438889516379524
tcv_lh__I_p_MA.csv,I_p_MA,92,92,0.1121161443174751,0.24157902670242537,0.2468918089241293
tcv_lh__B_t_T.csv,B_t_T,92,92,1.4101503828285042,1.4370845911841732,1.4469436227203918
tcv_lh__q95.csv,q95,92,92,3.1646406650543213,3.2558070041916585,7.279103149067271
tcv_lh__kappa.csv,kappa,92,92,1.5364905433221296,1.588008914775999,1.6469934528524226
tcv_lh__delta.csv,delta,92,92,0.3571709909222342,0.371030864938771,0.4169881858608939
tcv_lh__minor_radius_m.csv,minor_radius_m,92,92,0.2214405062523755,0.22316654761890303,0.236781360073523
tcv_lh__R_geo_m.csv,R_geo_m,92,92,0.8699744790792464,0.8756822388280521,0.8831797093153
tcv_lh__volume_m3.csv,volume_m3,92,92,1.263503676111048,1.291650734164498,1.437139240178195
tcv_lh__hydrogen_fraction_candidate.csv,hydrogen_fraction_candidate,90,90,0.0167023448418784,0.5266454889952463,1.0
tcv_lh__helium_fraction_candidate.csv,helium_fraction_candidate,92,92,0.0247336438084159,0.02563134488163945,0.2980623413661402
tcv_lh__Z_eff.csv,Z_eff,90,90,0.977490905197111,1.2722588495350986,2.608648321082562
tcv_lh__n_Ryter.csv,n_Ryter,92,92,0.2736568914512012,0.38847538099459633,0.3924580922524368
tcv_lh__P_Ryter.csv,P_Ryter,92,92,0.2909178784934114,0.36572486078724986,0.3675853888311363
tcv_lh__chi_eff_candidate.csv,chi_eff_candidate,89,89,0.7408420423292928,1.42435276872472,3.815699051864116
tcv_lh__divertor_signal_candidate.csv,divertor_signal_candidate,92,92,0.0096492425636221,0.03691046100636975,0.2416192660871899
tcv_lh__divertor_signal_150_candidate.csv,divertor_signal_150_candidate,92,92,0.0114988945814878,0.0418784072027022,0.2117395985326073
