case_id,batch_verdict,simulated_batch_verdict,median_gap,chamber_iqr,relative_iqr_to_median,effective_zero_iqr_flag,chamber_scale,base_giant_ratio,adaptive_plateau_kappa,adaptive_connect_kappa,exact_graph_kappa_connect,tolerance_fallback_scale,exact_graph_kappa_connect_with_tol_fallback,max_sorted_gap_separation
AFF01,HARD_FRAGMENTATION,HARD_FRAGMENTATION,0.1428645815899685,0.032108082015851025,0.22474487139159166,False,0.032108082015851025,0.6692913385826772,2.0,,9.898979485566088,0.032108082015851025,9.898979485566088,0.3178372451957827
AFF02,FULL_PERCOLATION,FULL_PERCOLATION,0.1749726636058142,0.17497266360581332,0.9999999999999949,False,0.17497266360581332,0.952755905511811,,2.0,1.8164965809277547,0.17497266360581332,1.8164965809277547,0.31783724519578205
AFF03,FULL_PERCOLATION,FULL_PERCOLATION,0.1749726636058142,0.1749726636058142,1.0,False,0.1749726636058142,0.9448818897637795,,2.0,1.816496580927744,0.1749726636058142,1.816496580927744,0.3178372451957818
AFF04,HARD_FRAGMENTATION,HARD_FRAGMENTATION,0.3178372451957827,1.0658141036401503e-14,3.3533329392646406e-14,True,1.0658141036401503e-14,0.6614173228346457,2.0,,132688576510953.58,0.3178372451957827,4.449489742783171,1.414213562373095
AFF05,FULL_PERCOLATION,FULL_PERCOLATION,0.05452260427447975,0.05452260427447886,0.9999999999999837,False,0.05452260427447886,0.9763779527559056,,25.938114680905702,15.07364562025133,0.05452260427447886,15.07364562025133,0.8218544151266947
AFF06,FULL_PERCOLATION,FULL_PERCOLATION,0.09783794741964158,0.18617992473513034,1.9029418507379026,False,0.18617992473513034,0.968503937007874,,2.0,1.707151002708564,0.18617992473513034,1.707151002708564,0.3178372451957827
AFN01,TAIL_FRAGMENTATION,TAIL_FRAGMENTATION,0.28572916317993347,0.2857291631799326,0.9999999999999969,False,0.2857291631799326,0.968503937007874,2.0,,2.224744871391589,0.2857291631799326,2.224744871391589,0.6356744903915654
AFN02,FULL_PERCOLATION,FULL_PERCOLATION,0.1428645815899685,0.17497266360581243,1.2247448713915419,False,0.17497266360581243,0.9606299212598425,,2.0,1.8164965809277638,0.17497266360581243,1.8164965809277638,0.31783724519578205
AFN03,FULL_PERCOLATION,FULL_PERCOLATION,0.09783794741964158,0.09783794741964336,1.0000000000000182,False,0.09783794741964336,0.937007874015748,,10.0,8.400160027904342,0.09783794741964336,8.400160027904342,0.8218544151266949
AFN04,FULL_PERCOLATION,FULL_PERCOLATION,0.28572916317993347,0.2857291631799299,0.9999999999999876,False,0.2857291631799299,0.968503937007874,,10.0,2.724744871391613,0.2857291631799299,2.724744871391613,0.7785390719815313
AFN05,FULL_PERCOLATION,FULL_PERCOLATION,0.0321080820158528,0.857187489539804,26.696938456697062,False,0.857187489539804,0.9763779527559056,,2.0,1.1123724356957838,0.857187489539804,1.1123724356957838,0.9535117355873459
AFN06,HARD_FRAGMENTATION,HARD_FRAGMENTATION,0.1428645815899685,0.207080745621667,1.4494897427831583,False,0.207080745621667,0.9763779527559056,2.0,,3.0696938456698932,0.207080745621667,3.0696938456698932,0.6356744903915639
INT01,FULL_PERCOLATION,FULL_PERCOLATION,0.06566703451737155,0.06566703451736977,0.9999999999999729,False,0.06566703451736977,0.9291338582677166,,10.0,4.380920724776831,0.06566703451736977,4.380920724776831,0.2876820724517808
INT02,FULL_PERCOLATION,FULL_PERCOLATION,0.023716526617317157,0.17571049807957806,7.408778735385268,False,0.17571049807957806,0.968503937007874,,2.0,1.2699500243471478,0.17571049807957806,1.2699500243471478,0.2231435513142096
INT03,HARD_FRAGMENTATION,HARD_FRAGMENTATION,0.07696104113612989,0.04905937694921825,0.6374572930015494,False,0.04905937694921825,0.7480314960629921,10.0,,10.412395255136447,0.04905937694921825,10.412395255136447,0.5108256237659905
INT04,FULL_PERCOLATION,FULL_PERCOLATION,0.04082199452025481,0.04082199452025481,1.0,False,0.04082199452025481,0.9291338582677166,,10.0,7.047232155916351,0.04082199452025481,7.047232155916351,0.2876820724517808
INT05,FULL_PERCOLATION,FULL_PERCOLATION,0.036367644170874236,0.08141539148550869,2.2386765307913965,False,0.08141539148550869,0.9606299212598425,,4.365712637611615,3.533509662027308,0.08141539148550869,3.533509662027308,0.2876820724517808
INT06,FULL_PERCOLATION,FULL_PERCOLATION,0.028170876966696845,0.04879016416943216,1.7319362910537397,False,0.04879016416943216,0.9763779527559056,,10.0,5.896312860369885,0.04879016416943216,5.896312860369885,0.2876820724517808
R1F01,FULL_PERCOLATION,FULL_PERCOLATION,1.0,0.0,0.0,False,1.0,1.0,,,0.0,1.0,0.0,0.0
R1F02,FULL_PERCOLATION,FULL_PERCOLATION,2.0,0.0,0.0,False,2.0,1.0,,,0.0,2.0,0.0,0.0
R1F03,FULL_PERCOLATION,FULL_PERCOLATION,3.0,0.0,0.0,False,3.0,1.0,,,0.0,3.0,0.0,0.0
R1F04,FULL_PERCOLATION,FULL_PERCOLATION,5.0,0.0,0.0,False,5.0,1.0,,,0.0,5.0,0.0,0.0
R1F05,FULL_PERCOLATION,FULL_PERCOLATION,7.0,0.0,0.0,False,7.0,1.0,,,0.0,7.0,0.0,0.0
R1F06,FULL_PERCOLATION,FULL_PERCOLATION,11.0,0.0,0.0,False,11.0,1.0,,,0.0,11.0,0.0,0.0
R1N01,FULL_PERCOLATION,FULL_PERCOLATION,1.0,0.0,0.0,False,1.0,1.0,,,1.0,1.0,1.0,1.0
R1N02,FULL_PERCOLATION,FULL_PERCOLATION,1.0,0.0,0.0,False,1.0,1.0,,,1.0,1.0,1.0,1.0
R1N03,FULL_PERCOLATION,FULL_PERCOLATION,1.0,0.0,0.0,False,1.0,1.0,,,1.0,1.0,1.0,1.0
