kappa,eps,giant_ratio,n_components,mean_degree,edge_density,is_connected,in_chain
0.01000000,0.00016738,0.06451613,46,0.645161,0.01057641,false,true
0.01333521,0.00022320,0.11290323,44,0.870968,0.01427816,false,true
0.01778279,0.00029765,0.16129032,38,1.129032,0.01850873,false,true
0.02371374,0.00039692,0.17741935,33,1.612903,0.02644104,false,true
0.03162278,0.00052930,0.19354839,28,2.258065,0.03701745,false,true
0.04216965,0.00070584,0.29032258,24,3.032258,0.04970915,false,true
0.05623413,0.00094125,0.37096774,22,3.645161,0.05975674,false,true
0.07498942,0.00125517,0.54838710,16,4.709677,0.07720783,false,true
0.10000000,0.00167380,0.54838710,15,5.645161,0.09254363,false,true
0.13335214,0.00223205,0.69354839,13,8.032258,0.13167636,false,true
0.17782794,0.00297648,0.80645161,10,11.032258,0.18085669,false,true
0.23713737,0.00396921,0.80645161,10,13.419355,0.21998942,false,true
0.31622777,0.00529302,0.82258065,8,17.645161,0.28926494,false,true
0.42169650,0.00705836,0.82258065,8,21.516129,0.35272343,false,true
0.56234133,0.00941247,0.87096774,7,25.935484,0.42517187,false,true
0.74989421,0.01255173,0.87096774,7,31.258065,0.51242729,false,true
1.00000000,0.01673800,0.87096774,7,35.580645,0.58328926,false,true
2.00000000,0.03347600,0.93548387,4,,,false,ext
10.00000000,0.16738000,0.96774194,2,,,false,ext
11.86819218,0.19864980,0.96774194,2,,,false,ext
140.85398562,2.35761401,1.00000000,1,,,true,ext
