t,Z_ibmq_guadalupe,Z_ibmq_guadalupe2,Z_ibmq_kolkata,Z_ibmq_mumbai,Z_ibm_cairo,Z_ibm_cairo2,Z_ibm_hanoi,Z_ibm_hanoi2
0,0.9821093750000003,0.9822656250000001,0.9577699999999999,0.9694499999999995,0.9764599999999996,0.9771449999999996,0.9780449999999995,0.9712099999999995
1,-0.8038593750000007,-0.7401406250000009,-0.7965249999999993,-0.6776699999999993,-0.8121849999999993,-0.7522949999999989,-0.7914899999999994,-0.6754449999999994
2,-0.7828437500000001,-0.7949687500000007,-0.7830450000000001,-0.727555,-0.8010000000000003,-0.78368,-0.7829249999999999,-0.6830100000000001
3,0.6781718750000006,0.6538437500000001,0.5185949999999997,0.55825,0.6573999999999998,0.6037899999999998,0.6907299999999996,0.6209149999999997
4,0.608843750000001,0.6316718750000004,0.5656199999999993,0.5619199999999991,0.6281949999999992,0.6185299999999989,0.5978399999999995,0.5521699999999995
5,-0.5874375000000007,-0.5806406250000004,-0.5128049999999995,-0.4018949999999999,-0.5343449999999997,-0.5671200000000001,-0.5642649999999992,-0.45956999999999965
6,-0.47584375,-0.2720000000000006,-0.5347649999999999,-0.3807300000000002,-0.4706050000000002,-0.4697699999999998,-0.5327049999999999,-0.414715
7,0.5472812500000003,0.4742500000000001,0.4583900000000001,0.39587000000000006,0.43432500000000007,0.46678000000000014,0.5551149999999998,0.43332499999999957
8,0.5806250000000012,0.4293281250000003,0.3901899999999998,0.337895,0.44431000000000004,0.4265849999999999,0.5184649999999998,0.41829999999999956
9,-0.45132812500000014,-0.3090312500000007,-0.475305,-0.41781500000000027,-0.40092499999999986,-0.44091500000000045,-0.4315349999999996,-0.35321500000000006
10,-0.5250312500000001,-0.42514062500000016,-0.4943999999999999,-0.42847499999999994,-0.4469900000000003,-0.47314,-0.5631200000000001,-0.4293000000000001
11,0.551328125,0.4481875000000004,0.4548999999999997,0.4408200000000001,0.4988250000000002,0.4154300000000004,0.5651949999999999,0.46838500000000005
12,0.651359375000001,0.41146874999999977,0.4924149999999998,0.5027150000000006,0.427,0.5025849999999998,0.6163249999999997,0.524125
13,-0.5121093750000005,-0.22392187500000016,-0.5409450000000001,-0.55927,-0.5594849999999996,-0.5660700000000001,-0.5599100000000006,-0.4649200000000002
14,-0.625546875,-0.2919218750000002,-0.6065300000000002,-0.5194299999999998,-0.5519149999999998,-0.639625,-0.5841799999999999,-0.49510499999999996
15,0.5692968750000003,0.5130625000000002,0.38793500000000025,0.3826550000000001,0.4107050000000001,0.4051850000000003,0.49918499999999966,0.439375
16,0.5174218750000007,0.28404687500000014,0.4281199999999999,0.307825,0.48475499999999927,0.46063,0.5705350000000003,0.4649299999999998
17,-0.5886718750000008,-0.3857500000000004,-0.5848650000000002,-0.46873000000000026,-0.48207999999999995,-0.5875399999999998,-0.5168800000000005,-0.46118499999999946
18,-0.6094375000000002,-0.38012500000000027,-0.58752,-0.5123200000000001,-0.5631949999999999,-0.5893200000000001,-0.618255,-0.4811699999999999
19,0.6339999999999997,0.6285156250000008,0.5147749999999995,0.4468599999999997,0.5467949999999999,0.5721499999999997,0.572715,0.5653950000000002
