t,Z_no_recompilationibmq_guadalupe2,Z_no_recompilationibmq_kolkata,Z_no_recompilationibm_cairo2,Z_no_recompilationibm_cairot20,Z_no_recompilation_ibmq_mumbai,Z_no_recompilation_ibm_cairo,Z_no_recompilation_ibm_hanoi
0,0.9834843750000004,0.9395249999999996,0.9750549999999999,0.9513499999999995,0.9723299999999998,0.9771199999999995,0.9702599999999996
1,0.25559375,0.37452999999999975,0.14847499999999977,0.03098000000000016,0.16130999999999995,0.2929599999999997,0.26051499999999994
2,0.13203125,0.30857500000000015,0.11366500000000007,0.06142000000000013,0.13631500000000019,0.21411000000000002,0.18090499999999998
3,0.07556249999999985,0.2533550000000004,0.09616000000000004,0.07522999999999981,0.1688200000000001,0.15496000000000004,0.19011499999999984
4,0.057874999999999815,0.22637999999999994,0.07269999999999985,0.11156500000000008,0.14785500000000001,0.12343499999999985,0.16221000000000024
5,0.045265625000000045,0.2044700000000001,0.06044000000000023,0.19624999999999992,0.11055499999999992,0.10032499999999991,0.128695
6,0.03817187499999984,0.1952150000000002,0.05460999999999991,0.12153999999999988,0.10947500000000003,0.08811500000000014,0.12107500000000002
7,0.035421875000000075,0.1935849999999998,0.0531200000000001,0.08637500000000002,0.11610000000000019,0.07898499999999987,0.11800000000000004
8,0.029015625000000017,0.193585,0.051435000000000064,0.08013999999999984,0.11147500000000002,0.07999999999999995,0.10906999999999997
9,0.02707812499999994,0.1903000000000002,0.046900000000000094,0.031194999999999945,0.10594,0.07735999999999996,0.10202000000000003
10,0.028593750000000098,0.18394000000000008,0.046609999999999804,0.06256,0.10658999999999981,0.07210999999999979,0.10174999999999987
11,0.025156249999999977,0.18336499999999992,0.04767000000000003,0.20751000000000014,0.10500500000000051,0.07215999999999992,0.10102000000000008
12,0.02557812499999995,0.18490500000000004,0.045700000000000005,0.064,0.1038900000000001,0.07293999999999991,0.10079999999999999
13,0.028234375000000048,0.18496999999999997,0.0462450000000002,0.10106000000000005,0.10132999999999968,0.07359499999999994,0.09914499999999994
14,0.03084374999999981,0.18515500000000007,0.0465350000000003,0.10333999999999997,0.10643000000000007,0.07040500000000001,0.09618499999999987
15,0.02362500000000016,0.13750499999999977,0.04574,0.11278,0.10589499999999996,0.07160999999999997,0.09430999999999999
16,0.028937499999999616,0.041874999999999954,0.04512999999999995,0.08611999999999988,0.10416000000000009,0.06659000000000005,0.09853500000000001
17,0.03259374999999995,0.13508999999999988,0.04399000000000031,0.15718,0.10461999999999971,0.0683649999999999,0.09449000000000017
18,0.030515625000000005,0.14340000000000014,0.04670499999999975,0.11769499999999995,0.10471000000000012,0.067085,0.09713000000000006
19,0.024749999999999953,-0.1803200000000002,0.04765500000000017,0.17387499999999986,0.10213499999999975,0.06724999999999971,0.09693500000000004
