struc_perc_id,source_ladder_id,object_id,object_name,spectrum_index,spectrum_id,spectrum_file,spectrum_date,phase_days,spectral_phase_role,line_id,line_name,element_group,rest_wavelength,n_points_window,continuum_level,line_flux_proxy,line_depth_proxy,equivalent_width_proxy,velocity_proxy_km_s,width_proxy_angstrom,signal_quality_proxy,delta_line_flux,delta_line_depth,delta_equivalent_width,delta_velocity,delta_width,delta_signal_quality,line_transition_flag,element_transition_flag,gap,gap_source,boundary_role,struc_perc_role,alpha_ready,unns_interpretation,raw_reference
C2_SN2012aw_spectral_state_00001,C2_SN2012aw,C2_SN2012aw,SN2012aw,1,2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-21 00:00:00.00,,early_spectral_state,H_beta,H beta,H,4861.3,69,2.53016e-14,8.78388405797e-16,0.00190938939333,270.969777611,1001.67895217,62.8017748071,0.000876808738344,0,0,0,0,0,0,0,0,0.130213847314,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt::H_beta
C2_SN2012aw_spectral_state_00002,C2_SN2012aw,C2_SN2012aw,SN2012aw,1,2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-21 00:00:00.00,,early_spectral_state,Fe_II_5169,Fe II 5169,Fe,5169,89,2.52375e-14,-1.19765955056e-15,0.00526707226374,351.129012027,-4762.83464594,82.5413387276,0.0011952073557,0,0,0,0,0,0,1,1,0.228668832569,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt::Fe_II_5169
C2_SN2012aw_spectral_state_00003,C2_SN2012aw,C2_SN2012aw,SN2012aw,1,2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-21 00:00:00.00,,early_spectral_state,He_I_5876,He I 5876,He,5875.6,38,2.30966e-14,-2.24954473684e-15,0.00793121587932,151.508581486,-1856.36865375,42.554797617,0.00224498153789,0,0,0,0,0,0,1,1,0.146924726102,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt::He_I_5876
C2_SN2012aw_spectral_state_00004,C2_SN2012aw,C2_SN2012aw,SN2012aw,1,2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-21 00:00:00.00,,early_spectral_state,Ni_Co_decay_proxy,Ni/Co decay proxy blend,NiCo,5890,59,2.40437e-14,-2.49870169492e-15,0.00884874346671,235.077871421,-2584.76927966,67.8179734446,0.00249534034489,0,0,0,0,0,0,1,1,0.185356164634,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt::Ni_Co_decay_proxy
C2_SN2012aw_spectral_state_00005,C2_SN2012aw,C2_SN2012aw,SN2012aw,2,2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-23 00:00:00.00,,early_spectral_state,H_beta,H beta,H,4861.3,69,2.53131e-14,3.3715942029e-17,0.00355715732102,271.195817754,6702.38661499,88.9734309296,3.36546627372e-05,-8.44672463768e-16,0.00164776792769,0.226040143,5700.70766282,26.1716561225,-0.000843154075607,1,1,3.75588271021,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt::H_beta
C2_SN2012aw_spectral_state_00006,C2_SN2012aw,C2_SN2012aw,SN2012aw,2,2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-23 00:00:00.00,,early_spectral_state,Fe_II_5169,Fe II 5169,Fe,5169,89,2.36529e-14,9.90686516854e-16,0.00294074290221,350.903894041,-1960.67566897,105.258038928,0.000988418142605,2.18834606741e-15,-0.00232632936153,-0.225117986,2802.15897697,22.7167002004,-0.000206789213095,1,1,2.52975103129,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt::Fe_II_5169
C2_SN2012aw_spectral_state_00007,C2_SN2012aw,C2_SN2012aw,SN2012aw,2,2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-23 00:00:00.00,,early_spectral_state,He_I_5876,He I 5876,He,5875.6,38,2.24135e-14,-4.93397368421e-16,0.00824539190846,151.344156583,-5992.29890434,40.3929534116,0.000492433657426,1.75614736842e-15,0.00031417602914,-0.164424903,-4135.93025059,-2.1618442054,-0.00175254788046,1,1,2.27495733946,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt::He_I_5876
C2_SN2012aw_spectral_state_00008,C2_SN2012aw,C2_SN2012aw,SN2012aw,2,2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-23 00:00:00.00,,early_spectral_state,Ni_Co_decay_proxy,Ni/Co decay proxy blend,NiCo,5890,59,2.25317e-14,-5.29166101695e-16,0.00836003421703,234.962953868,-6710.58791809,68.6324355265,0.00052813764254,1.96953559322e-15,-0.00048870924968,-0.114917553,-4125.81863843,0.8144620819,-0.00196720270235,1,1,2.26744369073,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt::Ni_Co_decay_proxy
C2_SN2012aw_spectral_state_00009,C2_SN2012aw,C2_SN2012aw,SN2012aw,3,2012aw_2011-03-25_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-25_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-25 00:00:00.00,,early_spectral_state,H_beta,H beta,H,4861.3,69,2.55024e-14,1.25714492754e-15,0.00288443986089,270.81401829,39.6691566737,76.7169048493,0.0012553613619,1.22342898551e-15,-0.00067271746013,-0.381799464,-6662.71745832,-12.2565260803,0.00122170669916,1,1,3.67466243371,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-25_00-00-00_Swift-UVOT_UV-grism_None.txt::H_beta
C2_SN2012aw_spectral_state_00010,C2_SN2012aw,C2_SN2012aw,SN2012aw,3,2012aw_2011-03-25_00-00-00_Swift-UVOT_UV-grism_None,2012aw_2011-03-25_00-00-00_Swift-UVOT_UV-grism_None.txt,2011-03-25 00:00:00.00,,early_spectral_state,Fe_II_5169,Fe II 5169,Fe,5169,89,2.414565e-14,1.50726573034e-15,0.00133218356198,351.421407753,-9869.65947019,112.337708593,0.00150306416921,5.16579213486e-16,-0.00160855934023,0.517513712,-7908.98380122,7.079669665,0.000514646026605,1,1,3.9377412916,date_ordered_line_window_proxy_change,early_spectral_state,early_post_boundary_spectral_state,yes,post-collapse spectral element-line structural state,C2_SN2012aw/2012aw_2011-03-25_00-00-00_Swift-UVOT_UV-grism_None.txt::Fe_II_5169
